AethLabs,,,,,,,,,,,,
Device ID = AE51-S4-655-1303,,,,,,,,,,,,
Application version = 2.1.1.0,,,,,,,,,,,,
Flow = 48 mlpm,,,,,,,,,,,,
TimeBase = 30 s,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Date(yyyy/MM/dd),Time,Ref,Sen,ATN,Flow,Temp,Status,Battery,BC,,,
7/10/14,15:18:00,866596,793762,8.779,48,34,0,100,1701,,,
7/10/14,15:18:30,866642,793745,8.786,48,34,0,100,1763,,,
7/10/14,15:19:00,866638,793684,8.794,48,34,0,100,1710,,,
7/10/14,15:19:30,866655,793642,8.801,48,34,0,100,1717,,,
7/10/14,15:20:00,866635,793561,8.809,48,34,0,100,1869,,,
7/10/14,15:20:30,866604,793472,8.816,48,34,0,100,1808,,,
7/10/14,15:21:00,866613,793423,8.824,48,34,0,100,1707,,,
7/10/14,15:21:30,866595,793343,8.832,48,34,0,100,1895,,,
7/10/14,15:22:00,866653,793338,8.839,48,34,0,100,1733,,,
7/10/14,15:22:30,866601,793230,8.847,48,34,0,100,1802,,,
7/10/14,15:23:00,866675,793236,8.854,48,34,0,100,1842,,,
